S.No.,Discom,Zone,Circle,Division,DistributionSub-StationName,NameIncomingFeeder,NameOutgoingFeeder,FeederCode,FeederVoltage,CategoryFeeder,SupplyArea,ProjectArea,MeterMakeType,MeterSlNo,OverallMF,MappedEDD,Status
78,KESCO,KESCO,CIRCLE IV,KALYANPUR,KALYANPUR,INC-1,NEW AVAS VIKAS I NO,51334110079I22,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,XB455710,1,KALYANPUR,Active
79,KESCO,KESCO,CIRCLE IV,RATANPUR,SHASTRI NAGAR,INC-1,SHASTRI NAGAR SUBSTATION FEEDER,51332410048N30,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0271109,1,RATANPUR,Active
80,KESCO,KESCO,CIRCLE IV,RATANPUR,RATANPUR,INC-2,RATANPUR SUBSTATION FEEDER,51332420049N31,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,XC461169,1,RATANPUR,Active
81,KESCO,KESCO,CIRCLE IV,RATANPUR,B BLOCK PANKI,INC-1,B BLOCK PANKI SUBSTATION FEEDER,51332420051N33,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,UPP51416,1,RATANPUR,Active
82,KESCO,KESCO,CIRCLE IV,KALYANPUR,MAHABALIPURAM,INC-1,MAHABALIPURAM SUBSTATION FEEDER,51334120083I34,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0692298,0.04,KALYANPUR,Active
83,KESCO,KESCO,CIRCLE IV,KALYANPUR,KESHAVPURAM,INC-1,KESHAVPURAM SUBSTATION FEEDER,51334120085I32,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,XC408463,1,KALYANPUR,Active
84,KESCO,KESCO,CIRCLE IV,KALYANPUR,KALYANPUR,INC-1,KALYANPUR SUBSTATION FEEDER,51334110079I27,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,XB455680,1,KALYANPUR,Active
85,KESCO,KESCO,CIRCLE IV,KALYANPUR,BARA SIROHI,INC-1,BARA SIROHI SUBSTATION FEEDER,51334110101I44,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0271260,2,KALYANPUR,Active
86,KESCO,KESCO,CIRCLE IV,KALYANPUR,AMBEDKARPURAM,INC-1,AMBEDKARPURAM SUBSTATION FEEDER,51334110082I39,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0271222,1,KALYANPUR,Active
87,KESCO,KESCO,CIRCLE IV,SARVODAYA NAGAR,SARVODAYA NAGAR,INC-1,SARVODAYA NAGAR SUBSTATION FEEDER,51334320094O14,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X1329597,0.04,SARVODAYA NAGAR,Active
88,KESCO,KESCO,CIRCLE IV,SARVODAYA NAGAR,RTO,INC-1,RTO SUBSTATION FEEDER,51334310092O27,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0038760,0.04,SARVODAYA NAGAR,Active
89,KESCO,KESCO,CIRCLE IV,SARVODAYA NAGAR,NAVEEN NAGAR,INC-1,NAVEEN NAGAR SUBSTATION FEEDER,51334310091O23,11,SUBSTATION,DISTRICT HQ,IPDS,SECURE,X0271218,1,SARVODAYA NAGAR,Active
90,KESCO,KESCO,CIRCLE IV,SARVODAYA NAGAR,NAMAK FACTORY,INC-2,RADHA VIHAR,51334320095O38,11,MIXED ABOVE 25%,DISTRICT HQ,IPDS,SECURE,X0271229,1,SARVODAYA NAGAR,Active
