S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
89,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Bhadaiya line,13195234,T-D,June,2024,0,2405.6,BHADHAIYAN_324841,2226.1,EDD I SULTANPUR,MADHYANCHAL
90,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Distt. Hospital line,13195272,T-D,June,2024,0,0,,,,
91,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV K.N.I. line,13195230,T-D,June,2024,0,8218.4,KNIT_30177,6641,EDD I SULTANPUR,MADHYANCHAL
92,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Ramganj line,XD508948,T-D,June,2024,0,8063.8,RAMGANJ_324843,4033.62,EDD LAMBHUA,MADHYANCHAL
93,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Asroga line,XC599515,T-D,June,2024,0,7445.4,,,,
94,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Pakri line,XC599488,T-D,June,2024,0,0,PAKRI_324843,1927.02,EDD LAMBHUA,MADHYANCHAL
,,,,,,,,,,,,PAKRI_324843,1927.02,EDD LAMBHUA,MADHYANCHAL
,,,,,,,,,,,,PAKRI_324843,1927.02,EDD LAMBHUA,MADHYANCHAL
97,CENTRAL,ETC Sultanpur,400 kV S/S Div. Sultanpur,220KV S/S SULTANPUR,33KV Dhammaur line,XD508944,T-D,June,2024,0,5859.8,DAMMOUR_324842,2669.9,EDD II SULTANPUR,MADHYANCHAL
98,CENTRAL,ETC Sultanpur,ETD Sultanpur,132KV S/S MUSAFIRKHANA,Isaoli,UPP65477,T-D,June,2024,0,6054.84,,,,
99,CENTRAL,ETC Sultanpur,ETD Sultanpur,132KV S/S MUSAFIRKHANA,Waris Ganj,UPP65491,T-D,June,2024,0,2585.52,,,,
100,CENTRAL,ETC Sultanpur,ETD Sultanpur,132KV S/S MUSAFIRKHANA,Satthin,UPP65472,T-D,June,2024,0,5977.44,,,,
101,CENTRAL,ETC Sultanpur,ETD Sultanpur,132KV S/S MUSAFIRKHANA,Musafir Khana NP,UPP65492,T-D,June,2024,0,1821.84,,,,
102,CENTRAL,ETC Sultanpur,ETD Sultanpur,132KV S/S MUSAFIRKHANA,Karpiya,UPP65476,T-D,June,2024,0,1631.52,,,,
103,CENTRAL,ETC Sultanpur,ETD Sultanpur,132KV S/S MUSAFIRKHANA,33 KV Jack bus,UPP65473,T-D,June,2024,0,0,,,,
