S.No.,Discom,Zone,Circle,Division,33KV-AboveConsumerFeeder,FeederCode,Category,SupplyArea,ProjectArea,FeederVoltage,Meter-MakeType,Meter-SlNo,OverallMF,Status
818,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV ADOBE_10308F18,10308F18,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286543,0.06,Active
819,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV FDR NO.16 PACE (SIFY)_10308F16,10308F16,INDEPENDENT,OTHERS,URBAN,33,SECURE,Q0502287,90,Active
820,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV SIFY_19521F16,19521F16,INDEPENDENT,OTHERS,URBAN,33,SECURE,Q0502287,90,Active
821,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV 10 METLIFE_10308F10,10308F10,INDEPENDENT,OTHERS,URBAN,33,SECURE,Q430566,0.3,Active
822,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV 25 JAYPEE_10308F25,10308F25,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332495,0.4,Active
823,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD V NOIDA,33 KV 21 ASSOTECH_10308F21,10308F21,INDEPENDENT,OTHERS,URBAN,33,L AND T,13285829,0.2,Active
824,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,33 KV GAURANG_10324GAU,10324GAU,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,10291250,1,Active
825,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,33 KV GANGA JAL_10327GAN,10327GAN,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,33,LNT,9577587,60,Active
826,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,33 KV SHRINATH_10327SRI,10327SRI,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,9577606,60,Active
827,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,33 KV KL RATHI_10327KLR,10327KLR,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,14192564,1,Active
828,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,33 KV RATHI STEEL_10327RAI,10327RAI,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,9577140,60,Active
829,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,33 KV RATHI UDHYOG_10327RAY,10327RAY,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,9577832,60,Active
830,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,132 KV CCIL_10327CCI,10327CCI,INDEPENDENT,DISTRICT HQ,URBAN,132,SECURE,UP-5318A,120,Active
831,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD V GHAZIABAD,132 KV GOYAL GAS_10327GOG,10327GOG,INDEPENDENT,DISTRICT HQ,URBAN,132,SECURE,UP-0798A,0.12,Active
832,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV PRATAP VIHAR-1_19508PV1,19508PV1,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,DISTRICT HQ,33,SECURE,UP5348A,120,Active
833,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV LALKUA II_10324LA2,10324LA2,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,DISTRICT HQ,33,SECURE,UP-5300A,120,Active
834,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV ANSAL_10327ANS,10327ANS,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,9576894,60,Active
835,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV CROSSING REPUBLIK_10327CRO,10327CRO,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X1187656,0.12,Active
836,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV WAVE CITY_10324CIT,10324CIT,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0374439,1,Active
837,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV SUCHI MILL_10324SUC,10324SUC,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,10291411,1,Active
838,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV UTILITY_10324UTI,10324UTI,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,9577649,120,Active
839,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV HVR ALLOYS_10324HVR,10324HVR,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UP-5293A,120,Active
840,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV LAND CRAFT_10324LAN,10324LAN,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,33,SECURE,UP-5292A,60,Active
841,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD IX GHAZIABAD,33 KV HINDUSTAN_10324HIN,10324HIN,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UP-5287A,60,Active
842,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD IV MEERUT,33 KV DEP PULP_19503DEV,19503DEV,INDEPENDENT,TEHSIL HQ,URBAN,33,LNT,11269880,0.2,Active
843,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD IV MEERUT,33 KV SKOL_10044SCO,10044SCO,INDEPENDENT,TEHSIL HQ,URBAN,33,LNT,11269884,0.02,Active
844,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD IV MEERUT,33 KV SHIVAJI LINE_10044MSL,10044MSL,INDEPENDENT,TEHSIL HQ,URBAN,33,SML,UPP69256,60,Active
845,PASCHIMANCHAL,MEERUT-I,EUDC MEERUT,EUDD IV MEERUT,33 KV MES_10044MSE,10044MSE,TAPPED(WITH OTHER CONSUMER FEEDER),TEHSIL HQ,URBAN,33,LNT,9577782,120,Active
846,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD IV GHAZIABAD,132 KV DMRC_19509DMR,19509DMR,INDEPENDENT,OTHERS,URBAN,132,SECURE,Q0263368,120,Active
847,PASCHIMANCHAL,GHAZIABAD-III,EUDC III GHAZIABAD,EUDD IV GHAZIABAD,33 KV MR PROVIEW SOCIETY_10511PRO,10511PRO,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286100,0.05,Active
848,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,33 KV FURNACE-III_10494FU3,10494FU3,TAPPED(WITH OTHER CONSUMER FEEDER),OTHERS,URBAN,33,SECURE,UPP68966,120,Active
849,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,33 KV I/C-II_10494IC2,10494IC2,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),OTHERS,URBAN,33,SECURE,UPP69065,120,Active
850,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,33 KV I/C-I_10494IC1,10494IC1,TAPPED(WITH OTHER CONSUMER FEEDER),OTHERS,URBAN,33,SECURE,UPP39641,0.12,Active
851,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,33 KV SARVOTTAM_10494SAR,10494SAR,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68067,60,Active
852,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,33 KV AMBA_10494AMB,10494AMB,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP-9226A,240,Active
853,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,33 KV UP STEEL_10494UPS,10494UPS,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68508,60,Active
854,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD III MUZAFFARNAGAR,33 KV BHARAT (A)_10495BHA,10495BHA,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),OTHERS,URBAN,33,LNT,13286025,0.2,Active
855,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD II MUZAFFARNAGAR,33 KV BANKE BIHARI_18541BAN,18541BAN,TAPPED(WITH OTHER CONSUMER FEEDER),OTHERS,RURAL,33,SECURE,UPP69151,60,Active
856,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD II MUZAFFARNAGAR,33 KV S M CONCAST_18540SMC,18540SMC,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP69517,60,Active
857,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD II MUZAFFARNAGAR,33 KV SWAROOP_18540SWA,18540SWA,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP69517,60,Active
858,PASCHIMANCHAL,MORADABAD,EUDC MORADABAD,EUDD II MORADABAD,33 KV DRM RAILWAY_10471DRM,10471DRM,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT,9142961,1,Active
859,PASCHIMANCHAL,MORADABAD,EUDC MORADABAD,EUDD II MORADABAD,33 KV DISTRICT COURT_10471DIC,10471DIC,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0374520,1,Active
860,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV CEL_10362CEL,10362CEL,TAPPED(WITH OTHER CONSUMER FEEDER),OTHERS,URBAN,33,SECURE,UP5282A,120,Active
861,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV OLIVE COUNTRY_10349COU,10349COU,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),OTHERS,URBAN,33,L & T,9509011,0.1,Active
862,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV TATA STEEL_10362TSL,10362TSL,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP4095A,60,Active
863,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV PACIFIC PROMOTER PACIFIC DEV. CORP._10362PPS,10362PPS,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5283A,60,Active
864,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV BHARAT ELECTRONICS_10362BEL,10362BEL,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5280A,60,Active
865,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV BC-1_10362TI1,10362TI1,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP5284A,60,Active
866,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV MAHAGUN MALL_10347MAH,10347MAH,INDEPENDENT,OTHERS,URBAN,33,L & T,9577143,60,Active
867,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,220 KV BHUSHAN STEEL_10362BHS,10362BHS,INDEPENDENT,OTHERS,URBAN,220,L & T,9576912,150,Active
868,PASCHIMANCHAL,GHAZIABAD-III,EUDC II GHAZIABAD,EUDD II GHAZIABAD,33 KV BENNETT COLEMAN 1_10362BEC,10362BEC,INDEPENDENT,OTHERS,URBAN,33,L & T,9576998,30,Active
869,PASCHIMANCHAL,SAHARANPUR,EUDC SAHARANPUR,EUDD I SAHARANPUR,33 KV DISTRICT COURT_10150COU,10150COU,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPO39814,0.12,Active
870,PASCHIMANCHAL,SAHARANPUR,EUDC SAHARANPUR,EUDD I SAHARANPUR,33 KV NORTHERN RAILWAY_10150NRL,10150NRL,INDEPENDENT,OTHERS,URBAN,33,LNT,X1496528,0.04,Active
871,PASCHIMANCHAL,SAHARANPUR,EUDC SAHARANPUR,EUDD I SAHARANPUR,33 KV ITC_10150ITC,10150ITC,INDEPENDENT,OTHERS,URBAN,33,SECURE,UP-8768A,30,Active
872,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F-7 MAHAGUN_10512FD7,10512FD7,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286722,0.2,Active
873,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV FDR-16 DS GROUP_10304F16,10304F16,INDEPENDENT,OTHERS,URBAN,33,SECURE,XF465343,0.05,Active
874,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV FDR-17 IV COUNTY_10304F17,10304F17,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332486,0.075,Active
875,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV FDR-8 AJNARA EUDD-1_10304FD8,10304FD8,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286541,0.1,Active
876,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F-16 SUPPERTECH_10512F16,10512F16,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332513,0.1,Active
877,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F-14 AMARPALI PRINC._10512F14,10512F14,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286690,0.06,Active
878,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV FDR NO.15 AMARPALI SILICON_10512F15,10512F15,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286693,0.06,Active
879,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV FDR NO.8 AGC_10512FD8,10512FD8,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332511,0.04,Active
880,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F10 SEC-122 JJ_10512F10,10512F10,INDEPENDENT,OTHERS,URBAN,33,L AND T,13070683,1,Active
881,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F-9 NIMBUS_10512F09,10512F09,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286616,0.1,Active
882,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F-12 ELDICO_10512F12,10512F12,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286263,0.05,Active
883,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F-17 ANTRIKSH_10512F17,10512F17,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286091,0.075,Active
884,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV F-3 PRATEEK_10512FD3,10512FD3,INDEPENDENT,OTHERS,URBAN,33,L AND T,11270131,0.06,Active
885,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV FDR-15 HALDIRAM-II_10304F15,10304F15,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332505,0.05,Active
886,PASCHIMANCHAL,NOIDA,EUDC I NOIDA,EUDD I NOIDA,33 KV FDR-11 HALDIRAM_10304F11,10304F11,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68375,22.5,Active
887,PASCHIMANCHAL,MUZAFFARNAGAR,EUDC MUZAFFARNAGAR,EUDD I MUZAFFARNAGAR,33 KV T.P. NAGAR_10495TPN,10495TPN,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),OTHERS,URBAN,33,LNT,13286935,0.05,Active
888,PASCHIMANCHAL,MORADABAD,EUDC MORADABAD,EUDD I MORADABAD,33 KV RAILWAY_10184RAI,10184RAI,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0372786,1,InActive
889,PASCHIMANCHAL,MORADABAD,EUDC MORADABAD,EUDD I MORADABAD,33 KV DESIGNCO_10184DES,10184DES,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0372779,1,Active
890,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD I GHAZIABAD,33 KV RAJ NAGAR_18555RAJ,18555RAJ,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,DISTRICT HQ,33,LNT,10291276,2,Active
891,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD I GHAZIABAD,33 KV KN NAGAR_10271KNN,10271KNN,TAPPED(WITH DISTRIBUTION SUBSTATION FEEDER),DISTRICT HQ,DISTRICT HQ,33,SECURE,UP-5324A,120,Active
892,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD I GHAZIABAD,33 KV CHAU. STL_10324CHO,10324CHO,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UP-5301A,60,Active
893,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD I GHAZIABAD,33 KV SRI RAM PISTON_10324SRM,10324SRM,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0374434,1,Active
894,PASCHIMANCHAL,GHAZIABAD-I,EUDC I GHAZIABAD,EUDD I GHAZIABAD,33 KV MECPL_10324MEC,10324MEC,TAPPED(WITH OTHER CONSUMER FEEDER),DISTRICT HQ,URBAN,33,SECURE,UP-5294A,60,Active
895,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EUDD BULANDSHAHAR,33 KV BSR_18529BSR,18529BSR,INDEPENDENT,TEHSIL HQ,URBAN,33,L&T,13285914,0.015,Active
896,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD VI BULANDSHAHAR,33 KV CRIMIFOOD_18529CRI,18529CRI,INDEPENDENT,TEHSIL HQ,URBAN,33,SECURE,UPP26465,60,Active
897,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD VI BULANDSHAHAR,33 KV J.P. SEVA_18529JPS,18529JPS,INDEPENDENT,TEHSIL HQ,URBAN,33,L&T,13286133,0.01,Active
898,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD V BULANDSHAHAR,33 KV BIBCOL_18529BIB,18529BIB,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0883591,0.06,Active
899,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD SIANA,33 KV MILAN DAIRY_18562MIL,18562MIL,INDEPENDENT,TEHSIL HQ,URBAN,33,HPL,11270049,15,Active
900,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD SAMBHAL,132 KV DSM ASMOLI_10142DSM,10142DSM,INDEPENDENT,OTHERS,RURAL,132,"SECURE, HTTVM",UPP69685,240,Active
901,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD NAKUR,33 KV P.G.I_18535PGI,18535PGI,INDEPENDENT,OTHERS,RURAL,33,L&T,733567,2,Active
902,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD NAJIBABAD,33 KV PRYAN ISPAT_18526PRI,18526PRI,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1332565,0.08,Active
903,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD NAJIBABAD,33 KV BADRI KEDAR_18526BAK,18526BAK,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1332563,0.02,Active
904,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD NAJIBABAD,33 KV INDIAN OIL CORP._18526IOC,18526IOC,INDEPENDENT,OTHERS,URBAN,33,L AND T,9577123,60,Active
905,PASCHIMANCHAL,GHAZIABAD-II,EDC GHAZIABAD,EDD MURADNAGAR,33 KV GANGA PAPER MILL_18590GPM,18590GPM,INDEPENDENT,TEHSIL HQ,RURAL,33,SECURE,KA908253,1,Active
906,PASCHIMANCHAL,GHAZIABAD-II,EDC GHAZIABAD,EDD MURADNAGAR,33 KV O.F.M.-2_10202OR2,15093410202OF2,INDEPENDENT,TEHSIL HQ,URBAN,33,LNT,UP7442A,60,Active
907,PASCHIMANCHAL,GHAZIABAD-II,EDC GHAZIABAD,EDD MURADNAGAR,33 KV O.F.M.-1_10202OR1,15093410202OF1,INDEPENDENT,TEHSIL HQ,URBAN,33,SECURE,UP7450A,60,Active
908,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD KHURJA,33 KV YAGYADUTT_10442YAG,10442YAG,INDEPENDENT,TEHSIL HQ,URBAN,33,L&T,9577058,1,Active
909,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD KHURJA,33 KV ARSHIYA_18529ARS,18529ARS,INDEPENDENT,TEHSIL HQ,URBAN,33,L&T,9508869,60,Active
910,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD KHURJA,33 KV THDC_10943THD,10943THD,INDEPENDENT,TEHSIL HQ,URBAN,33,SECURE,X1196532,1,Active
911,PASCHIMANCHAL,BULANDSHAHAR,EDC I BULANDSHAHAR,EDD KHURJA,33 KV TIRVENI SUGAR MILL_10943TIR,10943TIR,INDEPENDENT,TEHSIL HQ,URBAN,33,SECURE,UPP43255,0.06,Active
912,PASCHIMANCHAL,BULANDSHAHAR,EDC III BULANDSHAHAR,EDD JAHANGIRABAD,33 KV JP UNIVERSITY_18523JPU,16113311390JPU,INDEPENDENT,OTHERS,RURAL,33,LNT,11270018,0.023,Active
913,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD III SHAMLI,33 KV SHAMLI STEEL_10133SHS,10133SHS,INDEPENDENT,OTHERS,RURAL,33,LNT,11270109,0.2,Active
914,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD III SHAMLI,33 KV CARRIER WHEEL_10133CAW,10133CAW,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0869038,0.03,Active
915,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD III SHAMLI,33 KV SIKKA PAPER_10133SIP,10133SIP,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPB99617,0.025,Active
916,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD III MORADABAD,33 KV PASHUPATI NATH_18549PAS,18549PAS,INDEPENDENT,OTHERS,RURAL,33,SECURE,UP5165A,0.06,Active
917,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD III MEERUT,33 KV WTP_10044WTP,10044WTP,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332407,60,Active
918,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD III MEERUT,33 KV K.K.B.S CHARITABLE TRUST_10044KCT,10044KCT,INDEPENDENT,OTHERS,URBAN,33,LNT,13286099,60,Active
919,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD III MEERUT,33 KV S.S.B.UNIVERSITY_19503SSB,19503SSB,INDEPENDENT,OTHERS,URBAN,33,LNT,UP-5415A,60,Active
920,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD III MEERUT,33 KV MODI TYRE_19503WIN,19503WIN,INDEPENDENT,OTHERS,URBAN,33,LNT,UP-5418A,60,Active
921,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD III MEERUT,33 KV MODI-II_19503MO2,19503MO2,INDEPENDENT,OTHERS,URBAN,33,LNT,9576901,120,Active
922,PASCHIMANCHAL,BULANDSHAHAR,EDC III BULANDSHAHAR,EDD III BULANDSHAHAR,33 KV ZAMEERA STEEL_18569ZAS,16113190522ZAS,INDEPENDENT,OTHERS,URBAN,33,L&T,13286460,1,Active
923,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD II SHAMLI,33 KV DISTRICT HOSPITAL_10133DIS,10133DIS,INDEPENDENT,DISTRICT HQ,URBAN,33,LNT DLMS,13286506,0.01,Active
924,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD II SAHARANPUR,33 KV HINDAN FILTER_11482HFR,11482HFR,INDEPENDENT,OTHERS,RURAL,33,L&T,13285856,1,Active
925,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD II SAHARANPUR,33 KV ALM_10802ALM,10802ALM,INDEPENDENT,OTHERS,RURAL,33,L&T,9576950,30,Active
926,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD II SAHARANPUR,33 KV UNITECH_10150UNI,10150UNI,INDEPENDENT,OTHERS,RURAL,33,L&T,9577266,60,Active
927,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD II RAMPUR,33 KV KASHIF RICE MILL_18553KAS,18553KAS,INDEPENDENT,OTHERS,RURAL,33,L&T,22006717,0.5,Active
928,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD II RAMPUR,33 KV WHEELS INDIA LTD._18553WHE,18553WHE,INDEPENDENT,TEHSIL HQ,RURAL,33,L&T,22006744,0.187,Active
929,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD II MUZAFFARNAGAR,33 KV FURNACE-IV_10494FIV,10494FIV,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,13285936,25,Active
930,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD II MUZAFFARNAGAR,33 KV DLS PAPER_10494DLS,10494DLS,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,13286860,50,Active
931,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD II MUZAFFARNAGAR,33 KV MEDICAL_10494MED,10494MED,INDEPENDENT,OTHERS,RURAL,33,SECURE,Q0430723,50,Active
932,PASCHIMANCHAL,MEERUT-II,EDC II MEERUT,EDD II MEERUT,33 KV SARDHANA PAPER MILL_10143SPN,10143SPN,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP20166,30,Active
933,PASCHIMANCHAL,MEERUT-II,EDC II MEERUT,EDD II MEERUT,33 KV NAWALA ISPAT_10143NAW,10143NAW,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68232,60,Active
934,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV SPOONER_10164SPO,10164SPO,INDEPENDENT,OTHERS,RURAL,33,SECURE 3 PHASE 4 WIRE,UPP39716,0.06,Active
935,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV NCML_10164NCM,10164NCM,INDEPENDENT,OTHERS,RURAL,33,L AND T 3 PHASE 4 WIRE,9577185,60,Active
