S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
124,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV MES BAY,7252816,T-D,July,2024,0,0,MES_40018,1545,EUDD V TRANSVERNA,POORVANCHAL
,,,,,,,,,,,,MES_40018,1545,EUDD V TRANSVERNA,POORVANCHAL
126,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,132/33 KV 63 MVA T/F-II Apex Metear MAIN,UP1134A,T-D,July,2024,0,0,,,,
127,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,132/33 KV 63 MVA T/F-III Apex Metear,UP2588A,T-D,July,2024,0,0,,,,
128,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV DPH BAY,UP070400,T-D,July,2024,0,9855.5,,,,
,,,,,,,,,,,,,,,
130,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV Sigra 1,22009123,T-D,July,2024,0,3770,,,,
131,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV Sigra II,22003030,T-D,July,2024,0,5005,,,,
132,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV PANNALAL PARK,22003056,T-D,July,2024,0,7686,,,,
133,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV KOILAHWA BAY,X1484892,T-D,July,2024,0,5439.2,,,,
134,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV ORDELY BAZAR BAY,22009135,T-D,July,2024,0,6124,,,,
135,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV NEW KASHI VIDHYAPITH,X1484900,T-D,July,2024,0,5601.6,,,,
136,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,DJ,X1484893,T-D,July,2024,0,56.4,,,,
137,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV VARUNA GARDEN,22009118,T-D,July,2024,0,4741,,,,
138,SOUTH-EAST,ETC Varanasi,ETD Varanasi,132KV S/S VARANASI CANTT.,33 KV Sanskrit Sankul,22003091,T-D,July,2024,0,5372,,,,
