S.No.,Zone,Circle,Division,Substation,FeederBay,EnergyMeterSerialNo,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
90,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,BHAWALPUR,55603,T-D,July,2024,0,0,BHAWALPUR_120631,2841,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,BHAWALPUR_120631,2841,EDD I AMROHA,PASCHIMANCHAL
92,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,TAHARPUR,55600,T-D,July,2024,0,2396,TAHARPUR_120634,2396,EDD II GAJRAULA,PASCHIMANCHAL
93,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,NEKPUR/DAULATPUR,55605,T-D,July,2024,0,0,NEKPUR_120474,953,EDD SAMBHAL,PASCHIMANCHAL
,,,,,,,,,,,,DAULATPUR_120631,2027,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,NEKPUR_120474,953,EDD SAMBHAL,PASCHIMANCHAL
,,,,,,,,,,,,DAULATPUR_120631,2027,EDD I AMROHA,PASCHIMANCHAL
97,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,JAUJKHERA,Y0197591,T-D,July,2024,0,1040.2,JAUJKHERA_120631,1040,EDD I AMROHA,PASCHIMANCHAL
98,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,RAJABPUR-II,Y0197651,T-D,July,2024,0,0,RAJABPUR-2_120631,1380,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,RAJABPUR-2_120631,1380,EDD I AMROHA,PASCHIMANCHAL
100,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,SUDANPUR/SIBORA,Y0197744,T-D,July,2024,0,0,SUDANPUR_120631,2264,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,BUDHANPUR DIDDOLI_120631,1479,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,SUDANPUR_120631,2264,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,BUDHANPUR DIDDOLI_120631,1479,EDD I AMROHA,PASCHIMANCHAL
104,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,JALALPUR KALAN,X1484943,T-D,July,2024,0,680,JALALPUR KALAN_11512,680,EDD I GAJRAULA,PASCHIMANCHAL
105,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,BUS COUPLER,SIE55607,T-D,July,2024,0,11,,,,
106,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,63 MVA T/F-II,APM89666,T-D,July,2024,0,12982,,,,
107,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,63 MVA T/F -III,UP-5065-A,T-D,July,2024,0,6371.38,,,,
108,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,KAFURPUR TSS LINE,UP0092,T-D,July,2024,76.8,2973.36,,,,
109,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,JOYA,SIE55601,T-D,July,2024,0,0,JOYA_120631,4726,EDD I AMROHA,PASCHIMANCHAL
,,,,,,,,,,,,JOYA_120631,4726,EDD I AMROHA,PASCHIMANCHAL
111,WEST,ETC Morodabad-II,ETD Amroha,220KV S/S GAJRAULA,63 MVA T/F-I,APM89665,T-D,July,2024,0,10580,,,,
112,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,UJHARI,X0479560,T-D,July,2024,0,5001,UJHARI_11262,5001,EDD II GAJRAULA,PASCHIMANCHAL
113,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,SUGAR MILL,UPP26322,T-D,July,2024,0,118.98,,,,
114,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,HASAN PUR,KAU08023,T-D,July,2024,0,5709.6,TEHSIL HASANPUR_10393,5710,EDD II GAJRAULA,PASCHIMANCHAL
115,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,RAMPURA,KAU07999,T-D,July,2024,0,4932.4,SAIDNAGLI_120634,4932,EDD II GAJRAULA,PASCHIMANCHAL
116,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,DHAWARSI,KAU08014,T-D,July,2024,0,5522.4,DHAWARSI_120634,5522,EDD II GAJRAULA,PASCHIMANCHAL
117,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,BUS COUPLER,KAU08037,T-D,July,2024,0,0,,,,
118,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,GARAVPUR,UPP39780,T-D,July,2024,0,1285.8,ADAMPUR_120634,2198,EDD II GAJRAULA,PASCHIMANCHAL
,,,,,,,,,,,,GARABPUR_120634,1286,EDD II GAJRAULA,PASCHIMANCHAL
120,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,EKONDA,5081429,T-D,July,2024,0,2221.58,EKONDA_120634,2222,EDD II GAJRAULA,PASCHIMANCHAL
121,WEST,ETC Morodabad-II,ETD Amroha,132KV S/S SAID NAGLI,NAGLA KHADAR,X0479571,T-D,July,2024,0,1036,NAGLA KHADER_120634,1036,EDD II GAJRAULA,PASCHIMANCHAL
