S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
121,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,33 KV CIVIL LINE CB-13,KAV07967,T-D,June,2024,0,6883,CIVIL LINES_10110,6883,EDD I RAMPUR,PASCHIMANCHAL
122,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV AJEETPUR -I, CB-15",UPP40074,T-D,June,2024,0,5421.24,AJEETPUR_10111,5421,EDD I RAMPUR,PASCHIMANCHAL
123,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33KV AMBEDKER PARK, CB-16",UPP39800,T-D,June,2024,0,4554,NAWAB GATE_10113,3633,EDD I RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,AMBEDKAR PARK_10483,921,EDD I RAMPUR,PASCHIMANCHAL
125,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33 KV DISTRICT COURT, CB-17",13194349,T-D,June,2024,0,26.96,,,,
126,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S RAMPUR,"33 KV AJEETPUR -2ND, CB-18",UPP39866,T-D,June,2024,0,4355.16,AJEETPUR 2_15026,1548,EDD I RAMPUR,PASCHIMANCHAL
,,,,,,,,,,,,PATWAI_120543,2807,EDD MILAK,PASCHIMANCHAL
,,,,,,,,,,,,AJEETPUR 2_15026,1548,EDD MILAK,PASCHIMANCHAL
129,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",SHAHBAD RL,15197377,T-D,June,2024,0,2365.5,SHAHBAD_120543,2366,EDD MILAK,PASCHIMANCHAL
130,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",KHARSOL,15197324,T-D,June,2024,0,547.4,KHARSOL_11513,547,EDD MILAK,PASCHIMANCHAL
131,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",SHAHBAD TEHSIL,15197350,T-D,June,2024,0,2803.55,BHITAR GAO SHAHBAD_10388,2804,EDD MILAK,PASCHIMANCHAL
132,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",MADHUKER,15197380,T-D,June,2024,0,3045,MADHUKAR_120543,3045,EDD MILAK,PASCHIMANCHAL
133,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",SAIFNI,15197348,T-D,June,2024,0,2718.2,SAFINI_120543,2718,EDD MILAK,PASCHIMANCHAL
134,WEST,ETC Moradabad-I,ETD Rampur,"132KV S/S SAHABAD,RAMPUR",TRNSFER BUS COUPLER,15197366,T-D,June,2024,0,0,,,,
135,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33 KV FDR. DOONGARPUR,16197641,T-D,June,2024,0,4651.5,DOONGARPUR_10112,4652,EDD I RAMPUR,PASCHIMANCHAL
136,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. KHOD,16197636,T-D,June,2024,0,5751.4,KHOD_120542,5751,EDD II RAMPUR,PASCHIMANCHAL
137,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. MILAK KHANAM,16197677,T-D,June,2024,0,4637.8,MILAK KHANAM_120542,4638,EDD II RAMPUR,PASCHIMANCHAL
138,WEST,ETC Moradabad-I,ETD Rampur,132KV S/S LALPUR,33KV FDR. TBC,16197687,T-D,June,2024,0,0,,,,
