S.No.,Zone,Circle,Division,Substation,FeederBay,Energy Meter Serial No.,InterfaceType,Month,Year,Import Energy(Transmission),Export Energy(Transmission),Name of Distribution S/S and/or 33kv and above Consumer feeder,Receipt Energy for Month,Name of Distribution Division,Name of Distribution Discom
149,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Amanpur,5081444,T-D,June,2024,0,3470.8,,,,
150,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Malawan,5081431,T-D,June,2024,0,1747.71,MALAWAN_24648,1732.71,EDD I ETAH,DAKSHINANCHAL
151,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Baghwala,581432,T-D,June,2024,0,0,DHUMARI_24460,2440,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,BAGHWALA_24330,3247.22,EDD II ETAH,DAKSHINANCHAL
,,,,,,,,,,,,DHUMARI_24460,2440,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,BAGHWALA_24330,3247.22,EDD II ETAH,DAKSHINANCHAL
155,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33 KV Pilua,58144,T-D,June,2024,0,2986.42,PILUA_24769,2986.42,EDD I ETAH,DAKSHINANCHAL
156,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,220KV S/S ETAH,33KV KOTWALI,AB04434,T-D,June,2024,0,6219.4,KOTWALI DEHAT_20029,6215.3,EUDD ETAH,DAKSHINANCHAL
157,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Jaithara,7033833,T-D,June,2024,0,5651.4,JASRATHPUR_24932,1996.57,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,JAITHRA_22328,3654.83,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,VERNA_24924,1213.4,EDD I ETAH,DAKSHINANCHAL
160,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Raja Ka Ram Pur,7033917,T-D,June,2024,0,3234.6,RAJA KA RAMPUR_22631,2245.6,EDD I ETAH,DAKSHINANCHAL
,,,,,,,,,,,,RAJA KA RAMPUR_22631,516.2,EDD KASGANJ RURAL,DAKSHINANCHAL
162,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Aliganj Town,7033830,T-D,June,2024,0,2876.4,ALIGANJ -TOWN_22029,2876.4,EDD I ETAH,DAKSHINANCHAL
163,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Aliganj RL,7033831,T-D,June,2024,0,6096.2,ALIGANJ RL_24928,6096.2,EDD I ETAH,DAKSHINANCHAL
164,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Sahori,7041831,T-D,June,2024,0,1482.6,SAHORI_24816,1217.6,EDD I ETAH,DAKSHINANCHAL
165,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Sarauth,7033561,T-D,June,2024,0,2598.4,SAROTH_24841,1385,EDD I ETAH,DAKSHINANCHAL
166,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV Saray Agahat,4937759,T-D,June,2024,0,1451.74,SARAI AGAHAT_24832,1451.74,EDD I ETAH,DAKSHINANCHAL
167,SOUTH-WEST,ETC Aligarh,ETD Mainpuri,"132KV S/S ALIGANJ,ETAH",33 KV TBC,4937757,T-D,June,2024,0,0,,,,
