S.No,Discom,Zone,Circle,Division,,
84,DAKSHINANCHAL,BANDA,EDC CHITRAKOOT,EDD I CHITRAKOOT,,  
85,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD I DHAMPUR,,  
86,DAKSHINANCHAL,ETAH,EDC ETAH,EDD I ETAH,,  
87,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD I ETAWAH,,  
88,POORVANCHAL,PRAYAGRAJ-II,EDC FATEHPUR,EDD I FATEHPUR,,  
89,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I GAJRAULA,,  
90,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD I GHAZIPUR,,  
91,MADHYANCHAL,DEVI PATAN,EDC GONDA,EDD I GONDA,,  
92,POORVANCHAL,GORAKHPUR-I,EDC I GORAKHPUR,EDD I GORAKHPUR,,  
93,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD I HAPUR,,  
94,MADHYANCHAL,SITAPUR,EDC HARDOI,EDD I HARDOI,,  
95,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD I HATHRAS,,  
96,POORVANCHAL,VARANASI-II,EDC I JAUNPUR,EDD I JAUNPUR,,  
97,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD I KANPUR,,  
98,MADHYANCHAL,SITAPUR,EDC LAKHIMPUR,EDD I LAKHIMPUR,,  
99,DAKSHINANCHAL,JHANSI,EDC LALITPUR,EDD I LALITPUR,,  
100,PASCHIMANCHAL,GHAZIABAD-II,EDC LONI,EDD I LONI,,  
101,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD I MAHOBA,,  
102,DAKSHINANCHAL,FIROZABAD,EDC MAINPURI,EDD I MAINPURI,,  
103,DAKSHINANCHAL,MATHURA,EDC I MATHURA,EDD I MATHURA,,  
104,POORVANCHAL,AZAMGARH,EDC MAU,EDD I MAU,,  
105,PASCHIMANCHAL,MEERUT-II,EDC II MEERUT,EDD I MAWANA,,  
106,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,,  
107,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD I MIRZAPUR,,  
108,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,,  
109,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,,  
110,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD I ORAI,,  
111,POORVANCHAL,PRAYAGRAJ-II,EDC PRATAPGARH,EDD I PRATAPGARH,,  
112,POORVANCHAL,PRAYAGRAJ-II,EDC I PRAYAGRAJ,EDD I PRAYAGRAJ,,  
113,MADHYANCHAL,RAEBARELI,EDC I RAEBARELI,EDD I RAIBAREILI,,  
114,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD I RAMPUR,,  
115,PASCHIMANCHAL,SAHARANPUR,EDC I SAHARANPUR,EDD I SAHARANPUR,,  
116,MADHYANCHAL,BAREILLY-II,EDC SHAHJAHANPUR,EDD I SHAJAHANPUR,,  
117,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD I SHAMLI,,  
118,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD I SITAPUR,,  
119,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD I SULTANPUR,,  
120,MADHYANCHAL,RAEBARELI,EDC UNNAO,EDD I UNNAO,,  
121,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD I VARANASI,,  
122,DAKSHINANCHAL,AGRA,EDC AGRA,EDD II AGRA,,  
123,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD II ALIGARH,,  
124,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD II AMROHA,,  
125,MADHYANCHAL,AYODHYA,EDC AYODHYA,EDD II AYODHYA,,  
126,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD II AZAMGARH,,  
127,MADHYANCHAL,BAREILLY-II,EDC BADAUN,EDD II BADAUN,,  
128,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD II BAGHPAT,,  
129,POORVANCHAL,AZAMGARH,EDC BALLIA,EDD II BALIA,,  
130,MADHYANCHAL,AYODHYA,EDC BARABANKI,EDD II BARABANKI RAMNAGAR,,  
131,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD II BARAUT,,  
132,MADHYANCHAL,BAREILLY-I,EDC BAREILLY,EDD II BAREILLY,,  
133,POORVANCHAL,BASTI,EDC BASTI,EDD II BASTI,,  
134,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD II BIJNOR,,  
135,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD II CHANDPUR,,  
136,DAKSHINANCHAL,KANPUR-I,EDC KANPUR,EDD II CHAUBEYPUR,,  
137,DAKSHINANCHAL,BANDA,EDC CHITRAKOOT,EDD II CHITRAKOOT,,  
138,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD II DHAMPUR,,  
139,DAKSHINANCHAL,ETAH,EDC ETAH,EDD II ETAH,,  
140,DAKSHINANCHAL,KANPUR-II,EDC ETAWAH,EDD II ETAWAH,,  
141,POORVANCHAL,PRAYAGRAJ-II,EDC FATEHPUR,EDD II FATEHPUR,,  
142,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD II GAJRAULA,,  
143,POORVANCHAL,VARANASI-II,EDC GHAZIPUR,EDD II GHAZIPUR,,  
144,MADHYANCHAL,DEVI PATAN,EDC GONDA,EDD II GONDA,,  
145,POORVANCHAL,GORAKHPUR-I,EDC II GORAKHPUR,EDD II GORAKHPUR,,  
146,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,,  
147,MADHYANCHAL,SITAPUR,EDC HARDOI,EDD II HARDOI,,  
148,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD II HATHRAS,,  
149,POORVANCHAL,VARANASI-II,EDC II JAUNPUR,EDD II JAUNPUR,,  
150,DAKSHINANCHAL,JHANSI,EDC JHANSI,EDD II JHANSI,,  
151,DAKSHINANCHAL,MATHURA,EDC I MATHURA,EDD II KOSI,,  
152,MADHYANCHAL,SITAPUR,EDC LAKHIMPUR,EDD II LAKHIMPUR,,  
153,DAKSHINANCHAL,JHANSI,EDC LALITPUR,EDD II LALITPUR,,  
154,PASCHIMANCHAL,GHAZIABAD-II,EDC LONI,EDD II LONI,,  
155,DAKSHINANCHAL,BANDA,EDC MAHOBA,EDD II MAHOBA,,  
156,DAKSHINANCHAL,FIROZABAD,EDC MAINPURI,EDD II MAINPURI,,  
157,POORVANCHAL,AZAMGARH,EDC MAU,EDD II MAU,,  
158,PASCHIMANCHAL,MEERUT-II,EDC II MEERUT,EDD II MAWANA,,  
159,PASCHIMANCHAL,MEERUT-II,EDC II MEERUT,EDD II MEERUT,,  
160,POORVANCHAL,MIRZAPUR,EDC MIRZAPUR,EDD II MIRZAPUR,,  
161,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD II MORADABAD,,  
162,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD II MUZAFFARNAGAR,,  
163,DAKSHINANCHAL,JHANSI,EDC ORAI,EDD II ORAI,,  
164,POORVANCHAL,PRAYAGRAJ-II,EDC PRATAPGARH,EDD II PRATAPGARH,,  
165,POORVANCHAL,PRAYAGRAJ-II,EDC II PRAYAGRAJ,EDD II PRAYAGRAJ,,  
166,MADHYANCHAL,RAEBARELI,EDC I RAEBARELI,EDD II RAIBAREILI TRIPHULA,,  
167,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD II RAMPUR,,  
168,PASCHIMANCHAL,SAHARANPUR,EDC II SAHARANPUR,EDD II SAHARANPUR,,  
169,MADHYANCHAL,BAREILLY-II,EDC SHAHJAHANPUR,EDD II SHAJAHANPUR,,  
170,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD II SHAMLI,,  
171,MADHYANCHAL,SITAPUR,EDC SITAPUR,EDD II SITAPUR,,  
172,MADHYANCHAL,AYODHYA,EDC SULTANPUR,EDD II SULTANPUR,,  
173,MADHYANCHAL,RAEBARELI,EDC UNNAO,EDD II UNNAO,,  
174,POORVANCHAL,VARANASI-I,EDC VARANASI,EDD II VARANASI,,  
175,DAKSHINANCHAL,AGRA,EDC FATEHABAD,EDD III AGRA,,  
176,DAKSHINANCHAL,ALIGARH,EDC I ALIGARH,EDD III ALIGARH,,  
177,MADHYANCHAL,AYODHYA,EDC AYODHYA,EDD III AYODHYA MILKIPUR,,  
178,POORVANCHAL,AZAMGARH,EDC I AZAMGARH,EDD III AZAMGARH,,  
179,POORVANCHAL,BASTI,EDC BASTI,EDD III BASTI,,  
180,PASCHIMANCHAL,BULANDSHAHAR,EDC III BULANDSHAHAR,EDD III BULANDSHAHAR,,  
181,POORVANCHAL,AZAMGARH,EDC MAU,EDD III GHOSI,,  
182,MADHYANCHAL,DEVI PATAN,EDC GONDA,EDD III GONDA COLONELGANJ,,  
183,DAKSHINANCHAL,ETAH,EDC HATHRAS,EDD III HATHRAS,,  
